name,domain,industry,annual_revenue,employee_count,city,state,linkedin_url,description,hubspot_id,owner,enrichment_timestamp,cs_company_id,cs_industry,cs_employee_count,cs_founded,cs_specialties,hiring_is_active,hiring_relevant_count,hiring_relevant_roles,hiring_total_open,hiring_score,leadership_has_hires,leadership_hire_count,leadership_hires_detail,leadership_score,funding_has_recent,funding_count,funding_latest_detail,funding_score,strategic_has_signal,strategic_primary_priority,strategic_details,strategic_score,revenue_score,revenue_tier,connection_degree,connection_score
General Vision Services,,Insurance,0.0,72,,,https://www.linkedin.com/sales/company/10628863,"One of the largest administrators of vision care programs in the Northeast, General Visi",,,2026-04-20T17:03:06.749790,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Lake Shore Bank,,Banking,0.0,90,,,https://www.linkedin.com/sales/company/382393,Lake Shore Bank is a community oriented financial institution originally chartered as a sa,,,2026-04-20T17:03:25.868155,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Hanover Street Capital,,Financial Services,0.0,74,,,https://www.linkedin.com/sales/company/3156503,"Hanover Street Capital, LLC (“Hanover”) is a premier commercial real estate platform full",,,2026-04-20T17:03:46.141084,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Mitsubishi Corporation (Americas),,International Trade and Development,0.0,140,,,https://www.linkedin.com/sales/company/79782109,Mitsubishi Corporation (Americas) is a wholly-owned U.S. subsidiary of Mitsubishi Corpo,,,2026-04-20T17:04:12.951005,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Vision Financial Group,,Financial Services,0.0,196,,,https://www.linkedin.com/sales/company/75050276,Vision Financial Group offers holistic financial planning and insurance solutions for indiv,,,2026-04-20T17:04:33.386935,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Madison Mortgage Services Inc.,,Financial Services,0.0,78,,,https://www.linkedin.com/sales/company/37814266,Licensed Mortgage Broker - NMLS #1862796 - https://www.nmlsconsumeraccess.org “T,,,2026-04-20T17:04:53.666798,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
"MLB Residential Lending, LLC.",,Banking,0.0,124,,,https://www.linkedin.com/sales/company/9321881,"MLB Residential Lending, LLC serves the lending needs of home buyers, home owners, r",,,2026-04-20T17:05:13.707523,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Velocity Investments,,Financial Services,0.0,59,,,https://www.linkedin.com/sales/company/16124269,Velocity Portfolio Group Inc. is a financial services company founded in 2004. Velocity p,,,2026-04-20T17:05:35.530399,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
PCSB Bank,,Banking,0.0,658,,,https://www.linkedin.com/sales/company/15854570,"PCSB Bank, a division of Beacon Bank & Trust, is a full-service, New York commercial ban",,,2026-04-20T17:05:55.559387,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Ukrainian Federal Credit Union,,Banking,0.0,61,,,https://www.linkedin.com/sales/company/1771629,"Ukrainian FCU (UFCU) was founded in 1953 by Ukrainian-Americans in Rochester, New Y",,,2026-04-20T17:06:15.923373,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
Emery & Webb Insurance,,Insurance,0.0,93,,,https://www.linkedin.com/sales/company/142697,"Emery & Webb is a family owned insurance company, in business since 1886, with over",,,2026-04-20T17:06:35.757651,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
The Milford Bank,,Banking,0.0,95,,,https://www.linkedin.com/sales/company/2497323,I am sure that you have a lot of priorities right now – all of them demanding attention.,,,2026-04-20T17:06:55.863158,,,,,,False,0,,0,0,False,0,,0,False,0,,0,False,,,0,5,unknown,3,3
