name,domain,industry,annual_revenue,employee_count,city,state,linkedin_url,description,hubspot_id,owner,enrichment_timestamp,cs_company_id,cs_industry,cs_employee_count,cs_founded,cs_specialties,hiring_is_active,hiring_relevant_count,hiring_relevant_roles,hiring_total_open,hiring_score,leadership_has_hires,leadership_hire_count,leadership_hires_detail,leadership_score,funding_has_recent,funding_count,funding_latest_detail,funding_score,strategic_has_signal,strategic_primary_priority,strategic_details,strategic_score,revenue_score,revenue_tier,connection_degree,connection_score,lead_score,tier,is_urgent,urgency_reasons,score_breakdown
General Vision Services,,Insurance,0.0,72.0,,,https://www.linkedin.com/sales/company/10628863,"One of the largest administrators of vision care programs in the Northeast, General Visi",,,2026-04-20T16:33:22.572946,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Lake Shore Bank,,Banking,0.0,90.0,,,https://www.linkedin.com/sales/company/382393,Lake Shore Bank is a community oriented financial institution originally chartered as a sa,,,2026-04-20T16:33:41.578786,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Hanover Street Capital,,Financial Services,0.0,74.0,,,https://www.linkedin.com/sales/company/3156503,"Hanover Street Capital, LLC (“Hanover”) is a premier commercial real estate platform full",,,2026-04-20T16:34:00.684288,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Mitsubishi Corporation (Americas),,International Trade and Development,0.0,140.0,,,https://www.linkedin.com/sales/company/79782109,Mitsubishi Corporation (Americas) is a wholly-owned U.S. subsidiary of Mitsubishi Corpo,,,2026-04-20T16:34:21.407104,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Vision Financial Group,,Financial Services,0.0,196.0,,,https://www.linkedin.com/sales/company/75050276,Vision Financial Group offers holistic financial planning and insurance solutions for indiv,,,2026-04-20T16:34:41.403632,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Madison Mortgage Services Inc.,,Financial Services,0.0,78.0,,,https://www.linkedin.com/sales/company/37814266,Licensed Mortgage Broker - NMLS #1862796 - https://www.nmlsconsumeraccess.org “T,,,2026-04-20T16:35:00.268592,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
"MLB Residential Lending, LLC.",,Banking,0.0,124.0,,,https://www.linkedin.com/sales/company/9321881,"MLB Residential Lending, LLC serves the lending needs of home buyers, home owners, r",,,2026-04-20T16:35:19.329383,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Velocity Investments,,Financial Services,0.0,59.0,,,https://www.linkedin.com/sales/company/16124269,Velocity Portfolio Group Inc. is a financial services company founded in 2004. Velocity p,,,2026-04-20T16:35:38.439271,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
PCSB Bank,,Banking,0.0,658.0,,,https://www.linkedin.com/sales/company/15854570,"PCSB Bank, a division of Beacon Bank & Trust, is a full-service, New York commercial ban",,,2026-04-20T16:35:57.506869,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Ukrainian Federal Credit Union,,Banking,0.0,61.0,,,https://www.linkedin.com/sales/company/1771629,"Ukrainian FCU (UFCU) was founded in 1953 by Ukrainian-Americans in Rochester, New Y",,,2026-04-20T16:36:16.984889,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
Emery & Webb Insurance,,Insurance,0.0,93.0,,,https://www.linkedin.com/sales/company/142697,"Emery & Webb is a family owned insurance company, in business since 1886, with over",,,2026-04-20T16:36:35.426022,,,,,,False,0.0,,0.0,0.0,False,0.0,,0.0,False,0.0,,0.0,False,,,0.0,5.0,unknown,3.0,3.0,8,COLD,False,,H:0.0/25 | F:0.0/20 | L:0.0/20 | R:5.0/15 | C:3.0/10 | S:0.0/10 | = 8/100
